,cell_type,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2,cre_line,dendrite_type
1988,Pvalb-IRES-Cre__L4__inh,,0.0009099521022147619,,,,0.05905371544141536,6.806782915091958e-10,2.296430043469444,0.00010142542606819643,0.00975842171021688,0.0007405691124034076,410.14174188957327,5.2241645387452475e-05,2.271970930431824e-05,1.0099597920543877e-07,,0.08190694647870206,2.4740872017758875e-08,0.00160565599090932,3.9951061122506244e-14,Pvalb-IRES-Cre,aspiny
1989,False,,,,,,,,,,,,,,,,,,,,,Chrna2-Cre_OE25,aspiny
1990,False,,,,,,,,,,,,,,,,,,,,,Pvalb-T2A-FlpO|Vipr2-IRES2-Cre,aspiny
1991,False,,,,,,,,,,,,,,,,,,,,,Ntsr1-Cre_GN220,spiny
1992,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
1993,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
1994,False,,,,,,,,,,,,,,,,,,,,,Ntsr1-Cre_GN220,spiny
1995,False,,,,,,,,,,,,,,,,,,,,,Glt25d2-Cre_NF107,spiny
1996,False,,,,,,,,,,,,,,,,,,,,,Sst-IRES-Cre,sparsely spiny
1997,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
1998,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
1999,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
2000,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
2001,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2002,False,,,,,,,,,,,,,,,,,,,,,Tlx3-Cre_PL56,spiny
2003,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
2004,False,,,,,,,,,,,,,,,,,,,,,Esr2-IRES2-Cre|PhiC31-neo,spiny
2005,False,,,,,,,,,,,,,,,,,,,,,Sst-IRES-Cre,aspiny
2006,False,0.0005484323225271739,9.424359202758749e-08,3.055972250796456,0.00032630858974185277,0.00016185655271294672,1.2568720930250521e-05,0.0031808069897729663,0.21668505831173315,0.0006136379590924673,0.009824200576846048,0.0007784074246099228,696.4320759574306,5.054851133159729e-07,0.000201834178749251,2.4621661545e-05,3.941654062688966e-07,,,,,Human,spiny
2007,False,,,,,,,,,,,,,,,,,,,,,Rbp4-Cre_KL100,spiny
2008,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
2009,False,,,,,,,,,,,,,,,,,,,,,Chrna2-Cre_OE25,sparsely spiny
2010,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
2011,Ntsr1-Cre_GN220__L6__exc,9.897096680533402e-08,1.675324725851496e-05,0.8574836772291513,1.8830721946194728e-06,0.01915295422219,0.002921352050280545,0.00069077694720396,0.09135017850522087,0.00022607863844381181,0.004211102052684158,0.0022443226164761687,386.0985865330732,0.0006014949140324691,1.3841195356859398e-06,0.00014935602806265424,1.0493090486178954e-07,,,,,Ntsr1-Cre_GN220,spiny
2012,False,,,,,,,,,,,,,,,,,,,,,Nos1-CreERT2,spiny
2013,Pvalb-IRES-Cre__L5__inh,,8.748002838798335e-05,,,,0.011021009164898036,5.619292337479624e-10,0.9076256752840028,0.0009889290645642497,0.007628621570999147,0.03878776718131462,54.226740037059905,1.8241901226787269e-06,1.3724884081702453e-05,1.273787017958549e-07,,0.048256224077055716,3.0013183726730334e-08,2.4550027002020845e-06,0.006421007063035184,Pvalb-IRES-Cre,aspiny
2014,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2015,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
2016,False,,,,,,,,,,,,,,,,,,,,,Tlx3-Cre_PL56,spiny
2017,False,,,,,,,,,,,,,,,,,,,,,Oxtr-T2A-Cre,spiny
2018,Htr3a-Cre_NO152__L2/3__inh,,1.6188030533463224e-06,,,,6.72132020419197e-07,0.006718357986754131,0.0652940334498397,0.0007118337472334572,0.00014036732235613635,0.0004628551645191944,985.8631560337868,0.0003687644275058172,0.00023323117990571929,0.00026629617833994645,,0.044198307310741904,2.593347281122649e-07,0.0007703656403349121,0.003051920708066317,Htr3a-Cre_NO152,aspiny
2019,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2020,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
2021,False,,,,,,,,,,,,,,,,,,,,,Rbp4-Cre_KL100,spiny
2022,False,,,,,,,,,,,,,,,,,,,,,Sim1-Cre_KJ18,spiny
2023,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152|Pvalb-T2A-Dre,aspiny
2024,False,,,,,,,,,,,,,,,,,,,,,Human,aspiny
2025,False,,,,,,,,,,,,,,,,,,,,,Chrna2-Cre_OE25,aspiny
2026,False,,,,,,,,,,,,,,,,,,,,,Human,aspiny
2027,False,,,,,,,,,,,,,,,,,,,,,Scnn1a-Tg3-Cre,spiny
2028,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
2029,False,,,,,,,,,,,,,,,,,,,,,Ntsr1-Cre_GN220,spiny
2030,False,,,,,,,,,,,,,,,,,,,,,Vip-IRES-Cre,aspiny
2031,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2032,False,,,,,,,,,,,,,,,,,,,,,Cux2-CreERT2,spiny
2033,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2034,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
2035,False,,,,,,,,,,,,,,,,,,,,,Cux2-CreERT2,spiny
2036,False,,,,,,,,,,,,,,,,,,,,,Scnn1a-Tg3-Cre,spiny
2037,False,,,,,,,,,,,,,,,,,,,,,Scnn1a-Tg2-Cre,spiny
2038,False,,,,,,,,,,,,,,,,,,,,,Ntsr1-Cre_GN220,spiny
2039,False,,,,,,,,,,,,,,,,,,,,,Nr5a1-Cre,spiny
2040,False,,,,,,,,,,,,,,,,,,,,,Cux2-CreERT2,spiny
2041,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
2042,False,,,,,,,,,,,,,,,,,,,,,Scnn1a-Tg2-Cre,spiny
2043,False,,,,,,,,,,,,,,,,,,,,,Pvalb-IRES-Cre,aspiny
2044,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2045,False,,,,,,,,,,,,,,,,,,,,,Cux2-CreERT2,spiny
2046,False,,,,,,,,,,,,,,,,,,,,,Tlx3-Cre_PL56,spiny
2047,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
2048,False,,,,,,,,,,,,,,,,,,,,,Scnn1a-Tg3-Cre,spiny
2049,False,,,,,,,,,,,,,,,,,,,,,Sst-IRES-Cre,aspiny
2050,False,,,,,,,,,,,,,,,,,,,,,Sst-IRES-Cre,aspiny
2051,False,,,,,,,,,,,,,,,,,,,,,Chrna2-Cre_OE25,spiny
2052,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
2053,False,,,,,,,,,,,,,,,,,,,,,Ndnf-IRES2-dgCre,aspiny
2054,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2055,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2056,False,,,,,,,,,,,,,,,,,,,,,Chat-IRES-Cre-neo,aspiny
2057,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2058,False,,,,,,,,,,,,,,,,,,,,,Human,spiny
2059,False,,,,,,,,,,,,,,,,,,,,,Scnn1a-Tg2-Cre,spiny
2060,False,,,,,,,,,,,,,,,,,,,,,Vipr2-IRES2-Cre,spiny
2061,False,,,,,,,,,,,,,,,,,,,,,Htr3a-Cre_NO152,aspiny
2062,False,,,,,,,,,,,,,,,,,,,,,Rorb-IRES2-Cre,spiny
2063,False,,,,,,,,,,,,,,,,,,,,,Rbp4-Cre_KL100,spiny
2064,Rorb-IRES2-Cre__L5__inh,,0.002331609636728794,,,,0.04310273925658081,4.300744428531395e-09,0.24026194798394904,0.0003695713459252134,0.009999895113219262,0.02094955944730134,294.96356476974836,0.0006125773666394463,0.00024503674862760806,1.0598745306836057e-07,,0.11951566353075595,5.150025181270799e-10,0.0002127925449143973,0.005868073783853545,Rorb-IRES2-Cre,aspiny
2065,False,,,,,,,,,,,,,,,,,,,,,Chrna2-Cre_OE25|Pvalb-T2A-Dre,aspiny
2066,False,,,,,,,,,,,,,,,,,,,,,Human,aspiny
2067,False,,,,,,,,,,,,,,,,,,,,,Esr2-IRES2-Cre|PhiC31-neo,spiny
2068,False,,,,,,,,,,,,,,,,,,,,,Rbp4-Cre_KL100,spiny
