,gbar_Im,gbar_Ih,gbar_NaTs,gbar_Nap,gbar_K_P,gbar_K_T,gbar_SK,gbar_Kv3_1,gbar_Ca_HVA,gbar_Ca_LVA,gamma_CaDynamics,decay_CaDynamics,soma_g_pas,axon_g_pas,dend_g_pas,apic_g_pas,gbar_NaV,gbar_Kd,gbar_Kv2like,gbar_Im_v2
Scnn1a-Tg2-Cre__L5__inh,,0.0001551910270540523,,,,0.06601431441347455,0.023199853267200508,1.9426609764707636,0.0002691298706705464,0.00947602183348005,0.00279342626886452,361.538497070793,3.5495780293630314e-07,0.0002643244968406309,1.0659846706700017e-06,,0.06867253402520951,5.385933231661791e-09,0.08462902315049539,6.1981883540323746e-06
Scnn1a-Tg2-Cre__L4__exc,0.004153764784106535,0.0011612612686543902,0.5163431493430951,0.0005759648657632726,0.043657164321637694,0.009921018087085226,0.07787615402200404,0.11857144286778049,0.0006900104851509763,0.0031656925768264966,0.00413550595308476,635.2326773540502,0.0002078077998364052,0.0003196863953804722,4.285649245531815e-05,0.0002594465364398949,0.3710621046701956,2.5399113576241028e-08,3.92187830063756e-05,0.01099683827263185
Htr3a-Cre_NO152__L2/3__inh,0.0010800252908518802,0.0007628850147508504,0.45206865923856615,0.0015643264757692842,0.060173579328554654,0.027881231506788316,0.06735612216108684,0.235401949264024,0.00036217986961422423,0.0020585898095056396,0.013283530779214906,327.15260885425164,0.00032734517722822097,0.0005779021943581883,0.00016582847813359478,,0.0527165011055879,2.1794814392656494e-05,0.030078677921870467,0.00256603394484057
Scnn1a-Tg3-Cre__L5__exc,0.00017031441721955838,0.00014534947644926282,0.555100277037506,0.001391665913531304,0.08451693847807684,0.012136874446391005,0.07676736248898745,0.17893234367342037,0.00012412513654077835,0.004472913330811321,0.004814193933500699,644.6181368357588,0.0003985990726314535,0.00042129586275291037,1.62726052006875e-05,0.0002805754866673471,0.1797230411877216,2.617609624649964e-05,0.00020549047656814867,0.008323207207022749
Htr3a-Cre_NO152__L6__exc,0.0033831978607412397,0.0006793626865748116,0.4775610030110376,0.00019884221313326567,9.098079067904052e-09,8.187409386971051e-08,0.001801772887893584,0.3605597452034566,9.035676469276726e-05,0.0016698059966334738,0.006457020008995684,477.53128271043886,0.00029758759401981504,4.585195112978317e-06,1.1104258099230587e-07,9.360292283046481e-07,,,,
Cux2-CreERT2__L2/3__exc,0.0002836840689563063,4.314651014112247e-08,0.6838817113482546,1.04318930264212e-06,0.03605217478073147,1.4388693124094332e-09,0.0009437495816197668,0.07834341196986133,5.0646472578986797e-05,0.0019267653289255387,0.005385368415172307,902.5077593614816,4.203814134980565e-06,0.00034099075974513415,1.0036145647763225e-07,6.416457085081553e-05,,,,
Rorb-IRES2-Cre__L6__exc,,9.253230657635392e-05,,,,0.00020243180377690903,0.013736518214821802,0.004208101597882229,0.0002093374502151193,1.657370737747521e-05,0.0017620150302349656,970.6044761612634,6.471106970479399e-05,0.0008157840996815405,9.466283567466588e-05,5.843488503922544e-06,0.12461702478064113,0.008399455073637116,0.05576670512712936,0.003216446723208481
Sst-IRES-Cre__L6__inh,,0.0006015511898294845,,,,0.04935652490229299,0.0008520886983667619,0.6618929837181058,0.0005783898303048909,0.003076811445846684,0.019436026781609727,615.4820990524172,5.827169584490799e-05,0.0005088639153492361,8.793825429380509e-05,,0.09511270426273073,3.608968449744211e-07,0.023573202071903526,0.0023839189457393033
Nr5a1-Cre__L2/3__exc,0.0030147111640120997,0.0005592213996404465,0.5956017014366334,0.0008325465557155778,0.021845242983615017,0.0005239451954521062,0.0747400177028271,0.17584873171582413,0.0005410179509894688,0.005888173636709822,0.012205764823271171,719.360757263076,0.00036898804635074036,0.00029154449811882096,1.3574274563688485e-05,0.0002501471101179684,,,,
Scnn1a-Tg3-Cre__L6__inh,,0.00014746319387872332,,,,9.175187020739328e-10,4.2533387757118746e-05,0.21802983819469385,0.00028605999667622947,0.0015130265988120973,0.006732169550936753,959.7077644300592,0.0006004190219820483,0.0008821300094454223,1.4522755302669284e-07,,0.095449524978063,7.15217658237488e-08,0.06748487307324674,0.0022481438424267358
Rbp4-Cre_KL100__L6__exc,0.09847996700056892,0.0012306089717704688,0.1423768156856782,0.034650998396227296,0.4283617181798157,5.4607318372507097e-05,0.4328241547632865,0.006355132284919685,0.0009657557400615293,0.002736564834270707,8.873737486598117e-05,218.88224396792785,0.00019035459220797217,0.00027595153257247183,0.0005374389400986753,0.0009918822236123716,,,,
Cux2-CreERT2__L5__exc,0.0009016032001012695,8.386368556919284e-05,0.4174150415592031,0.0008231144202263827,0.041363504363298664,0.0024803642341274697,0.03207819001628942,0.3435008523802995,0.0008946523997418334,0.0076925281318999126,0.00010303896682063778,748.1674349084126,0.0005259503496457329,0.0005094171677075829,2.9638376672297563e-05,3.306171760926708e-06,,,,
Sst-IRES-Cre__L4__exc,0.0002074822054283401,0.0002470260442802297,0.8273468670576869,1.1124013300857496e-05,0.07008226698587472,7.709647164810921e-07,0.0066163943990456,0.15736708134192368,0.0009986866629077137,5.128635343097876e-05,0.00017269320167078562,942.0690163406365,0.000257259969167022,0.00016493710293689448,1.1673149545411846e-05,1.3608576100916857e-06,,,,
Rorb-IRES2-Cre__L2/3__inh,,0.0013672757624725847,,,,0.22256200801735607,4.3340833406554924e-08,0.4459837255490859,0.00024275692471156308,6.173013791575949e-06,0.0494718251016303,532.9871467187212,9.488863523270668e-06,0.0007254677006773519,0.00010425788411593991,,0.15223735691080678,0.0013246383359209026,0.11859790352691695,0.0008580824386834996
Rorb-IRES2-Cre__L6__inh,,0.0003725000153901232,,,,0.02011411136113013,7.118127933608554e-06,2.8165515500017086,0.00046280693517231184,0.009354369913847959,0.002396217230549005,57.67032769762028,3.111622263261472e-05,0.0002653256603872705,3.1066382342947466e-07,,0.03099474479583517,3.492675198084783e-05,0.036404833512077635,4.7278382499932336e-08
Ntsr1-Cre_GN220__L6__inh,,5.4346227398996766e-05,,,,0.003498064477212197,0.006542143821336382,0.9155387030874745,0.0004483697580184934,0.006307731807217329,0.014643933846050889,556.0932257420317,0.000254796487225316,0.0004411989118208423,0.00021055407396297754,,0.05933535439052499,3.2376517340796782e-06,0.04846155290199107,0.002161564672930608
Gad2-IRES-Cre__L5__inh,,0.00048797274600827304,,,,0.03201234155516572,0.00012531786396920502,1.8184063390993501,0.0004795988988735642,0.007290050863414839,0.008271019532088067,313.2678292845286,0.00021320473222625772,7.41764130958898e-05,1.941620303017367e-06,,0.09943247517735587,1.9580776381997234e-08,0.23463568646126742,0.008393491759467945
